start_ip,end_ip,join_key,name,country,mcc,mnc
153.212.120.0,153.212.120.255,153.212.0.0,NTT docomo,JP,440,10
2a01:cb09:e023::,2a01:cb09:e023:ffff:ffff:ffff:ffff:ffff,2a01:cb09:c000::,Orange,FR,208,01
126.34.120.0,126.34.127.255,126.34.0.0,SoftBank,JP,440,20
75.210.112.0,75.210.112.255,75.210.0.0,Verizon,US,310,012
37.121.28.0,37.121.28.255,37.121.0.0,Mobily,SA,420,03
154.108.248.0,154.108.251.255,154.108.0.0,Ooredoo,TN,605,03
2a01:cb1a:4061::,2a01:cb1a:4061:ffff:ffff:ffff:ffff:ffff,2a01:cb1a:4000::,Orange,FR,208,01
185.185.55.0,185.185.55.255,185.185.0.0,Movistar,ES,214,07
108.243.125.0,108.243.125.255,108.243.0.0,AT&T,US,310,410
153.130.244.0,153.130.244.255,153.130.0.0,NTT docomo,JP,440,10
240a:d:4830::,240a:d:4832:ffff:ffff:ffff:ffff:ffff,240a:d:4000::,NTT docomo,JP,440,10
153.181.78.0,153.181.78.255,153.181.0.0,NTT docomo,JP,440,10
102.144.255.0,102.144.255.255,102.144.0.0,Airtel,ZM,645,01
2600:1014:9000::,2600:1014:900f:ffff:ffff:ffff:ffff:ffff,2600:1014:8000::,Verizon,US,310,012
2607:fb90:5ad0::,2607:fb90:5ad2:ffff:ffff:ffff:ffff:ffff,2607:fb90:4000::,T-Mobile,US,310,260
2001:44c8:426b::,2001:44c8:426c:ffff:ffff:ffff:ffff:ffff,2001:44c8:4000::,AIS,TH,520,03
99.7.153.0,99.7.153.255,99.7.0.0,AT&T,US,310,410
2803:d100:e240::,2803:d100:e240:ffff:ffff:ffff:ffff:ffff,2803:d100:c000::,Claro,GT,704,03
2607:fb90:6ad5::,2607:fb90:6ad5:ffff:ffff:ffff:ffff:ffff,2607:fb90:4000::,T-Mobile,US,310,260
2600:380:b153::,2600:380:b154:ffff:ffff:ffff:ffff:ffff,2600:380:8000::,AT&T,US,310,410
117.139.0.0,117.139.255.255,117.139.0.0,China Mobile,CN,460,00
146.251.73.0,146.251.76.255,146.251.0.0,Mobily,SA,420,03
2409:4070:4082::,2409:4070:4082:ffff:ffff:ffff:ffff:ffff,2409:4070:4000::,Jio,IN,405,840
122.24.66.0,122.24.66.255,122.24.0.0,NTT docomo,JP,440,10
196.227.104.0,196.227.116.255,196.227.0.0,Orange,TN,605,01
2603:7080:aa01::,2603:7080:aa01:ffff:ffff:ffff:ffff:ffff,2603:7080:8000::,U.S. Cellular,US,311,580
51.39.240.0,51.39.241.255,51.39.0.0,Zain SA,SA,420,04
2a04:cec0:1132::,2a04:cec0:1135:ffff:ffff:ffff:ffff:ffff,2a04:cec0::,Bouygues,FR,208,20
2a00:23c8:4200::,2a00:23c8:4200:ffff:ffff:ffff:ffff:ffff,2a00:23c8:4000::,BT,GB,234,00
153.172.251.0,153.172.251.255,153.172.0.0,NTT docomo,JP,440,10
2402:800:629d::,2402:800:629d:ffff:ffff:ffff:ffff:ffff,2402:800:4000::,MobiFone,VN,452,01
2401:d800:2734::,2401:d800:2736:ffff:ffff:ffff:ffff:ffff,2401:d800::,Viettel Mobile,VN,452,04
2a02:8440:221b::,2a02:8440:221b:ffff:ffff:ffff:ffff:ffff,2a02:8440::,SFR,FR,208,09
97.155.5.0,97.155.5.255,97.155.0.0,Verizon,US,310,012
99.96.128.0,99.96.128.255,99.96.0.0,AT&T,US,310,410
2607:fb90:e996::,2607:fb90:e997:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,260
207.134.190.0,207.134.190.255,207.134.0.0,"Telus Mobility, Koodo Mobile, Public Mobile",CA,302,220
106.207.202.0,106.207.202.255,106.207.0.0,Airtel,IN,404,02
109.54.93.0,109.54.93.255,109.54.0.0,TIM,IT,222,01
5.250.9.0,5.250.10.255,5.250.0.0,IR-TCI (Hamrah-e-Avval),IR,432,11
5.0.238.0,5.0.241.255,5.0.0.0,Syriatel,SY,417,01
2607:fb91:21c::,2607:fb91:21d:ffff:ffff:ffff:ffff:ffff,2607:fb91::,T-Mobile,US,310,260
2401:d800:430::,2401:d800:430:ffff:ffff:ffff:ffff:ffff,2401:d800::,Viettel Mobile,VN,452,04
2607:fb91:e9c::,2607:fb91:e9c:ffff:ffff:ffff:ffff:ffff,2607:fb91::,T-Mobile,US,310,260
97.150.35.0,97.150.35.255,97.150.0.0,Verizon,US,310,012
153.228.226.0,153.228.226.255,153.228.0.0,NTT docomo,JP,440,10
39.34.130.0,39.34.130.255,39.34.0.0,Ufone,PK,410,03
153.225.12.0,153.225.12.255,153.225.0.0,NTT docomo,JP,440,10
201.162.245.0,201.162.246.255,201.162.0.0,Movistar,MX,334,030
107.231.6.185,107.231.255.255,107.231.0.0,AT&T,US,310,410
23.114.51.0,23.114.55.255,23.114.0.0,AT&T,US,310,410
99.122.28.0,99.122.28.255,99.122.0.0,AT&T,US,310,410
2a00:23c6:4190::,2a00:23c6:4190:ffff:ffff:ffff:ffff:ffff,2a00:23c6:4000::,BT,GB,234,00
197.210.172.0,197.210.173.255,197.210.0.0,MTN,NG,621,30
106.174.142.0,106.174.142.255,106.174.0.0,au,JP,440,50
86.169.62.0,86.169.62.255,86.169.0.0,BT,GB,234,00
14.255.26.0,14.255.26.255,14.255.0.0,Vinaphone,VN,452,02
2401:d800:d300::,2401:d800:d307:ffff:ffff:ffff:ffff:ffff,2401:d800:c000::,Viettel Mobile,VN,452,04
181.115.62.0,181.115.64.255,181.115.0.0,Claro,CR,712,03
2607:fb90:8901::,2607:fb90:8901:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
90.144.0.0,90.144.255.255,90.144.0.0,Tele2,SE,240,07
104.185.135.0,104.185.135.255,104.185.0.0,AT&T,US,310,410
95.75.22.0,95.75.22.255,95.75.0.0,TIM,IT,222,01
102.173.227.0,102.173.230.255,102.173.0.0,Ooredoo,TN,605,03
2607:fb90:8a05::,2607:fb90:8a06:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
72.140.0.0,72.140.0.255,72.140.0.0,Rogers Wireless,CA,302,720
46.230.17.0,46.230.17.255,46.230.0.0,Mobily,SA,420,03
76.248.213.0,76.248.215.255,76.248.0.0,AT&T,US,310,410
113.211.96.0,113.211.191.255,113.211.0.0,Maxis,MY,502,12
61.5.197.0,61.5.198.255,61.5.0.0,AWCC,AF,412,01
2409:4072:6100::,2409:4072:6100:ffff:ffff:ffff:ffff:ffff,2409:4072:4000::,Jio,IN,405,840
153.211.117.0,153.211.118.255,153.211.0.0,NTT docomo,JP,440,10
2409:4052:2487::,2409:4052:248e:ffff:ffff:ffff:ffff:ffff,2409:4052::,Jio,IN,405,840
2409:4061:2d97::,2409:4061:2d97:ffff:ffff:ffff:ffff:ffff,2409:4061::,Jio,IN,405,840
86.170.173.0,86.170.173.255,86.170.0.0,BT,GB,234,00
97.150.2.0,97.150.2.255,97.150.0.0,Verizon,US,310,012
95.74.206.0,95.74.206.255,95.74.0.0,TIM,IT,222,01
99.14.248.0,99.14.248.255,99.14.0.0,AT&T,US,310,410
97.145.51.0,97.145.53.255,97.145.0.0,Verizon,US,310,012
154.108.70.0,154.108.71.255,154.108.0.0,Ooredoo,TN,605,03
2607:fc20:f01d::,2607:fc20:f01d:ffff:ffff:ffff:ffff:ffff,2607:fc20:c000::,T-Mobile,US,310,260
91.75.84.0,91.75.87.255,91.75.0.0,du,AE,424,03
23.122.18.0,23.122.18.255,23.122.0.0,AT&T,US,310,410
24.184.219.0,24.184.219.255,24.184.0.0,T-Mobile,US,310,260
87.123.240.0,87.123.247.255,87.123.0.0,O2,DE,262,03
2402:800:9570::,2402:800:9570:ffff:ffff:ffff:ffff:ffff,2402:800:8000::,Viettel Mobile,VN,452,04
2607:fb90:e3b1::,2607:fb90:e3b3:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,260
196.88.235.0,196.88.255.255,196.88.0.0,IAM,MA,604,01
68.196.240.0,68.196.240.255,68.196.0.0,T-Mobile,US,310,260
67.81.128.0,67.81.129.255,67.81.0.0,T-Mobile,US,310,260
86.175.191.0,86.175.191.255,86.175.0.0,BT,GB,234,00
107.205.8.0,107.205.8.255,107.205.0.0,AT&T,US,310,410
2607:fb91:7989::,2607:fb91:7989:ffff:ffff:ffff:ffff:ffff,2607:fb91:4000::,T-Mobile,US,310,260
1.39.203.0,1.39.203.255,1.39.0.0,Vi India,IN,404,22
2a00:1fa0:4899::,2a00:1fa0:48a8:ffff:ffff:ffff:ffff:ffff,2a00:1fa0:4000::,MTS,RU,250,01
110.224.234.0,110.224.234.255,110.224.0.0,Airtel,IN,404,02
2a00:1fa0:428a::,2a00:1fa0:428c:ffff:ffff:ffff:ffff:ffff,2a00:1fa0:4000::,MTS,RU,250,01
107.134.116.0,107.134.116.255,107.134.0.0,AT&T,US,310,410
2a00:1fa3:55e::,2a00:1fa3:56e:ffff:ffff:ffff:ffff:ffff,2a00:1fa3::,MTS,RU,250,01
1.39.222.0,1.39.222.255,1.39.0.0,Vi India,IN,404,22
195.91.13.0,195.91.127.255,195.91.0.0,Telekom,SK,231,02
181.158.0.0,181.158.255.255,181.158.0.0,Claro,CO,732,101
2800:484:9082::,2800:484:9082:ffff:ffff:ffff:ffff:ffff,2800:484:8000::,Claro,CO,732,101
184.146.135.0,184.146.135.255,184.146.0.0,Bell Mobility,CA,302,610
126.40.245.0,126.40.245.255,126.40.0.0,SoftBank,JP,440,20
31.223.139.0,31.223.139.255,31.223.0.0,m:tel,BA,218,05
119.229.26.0,119.229.26.255,119.229.0.0,NTT docomo,JP,440,10
2.34.98.0,2.34.98.255,2.34.0.0,Vodafone,IT,222,10
196.67.37.0,196.67.42.255,196.67.0.0,IAM,MA,604,01
220.221.100.0,220.221.101.255,220.221.0.0,NTT docomo,JP,440,10
5.173.200.0,5.173.202.255,5.173.0.0,Play,PL,260,06
76.247.30.0,76.247.30.255,76.247.0.0,AT&T,US,310,410
2607:fb90:9a89::,2607:fb90:9a89:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
2607:fc20:ae80::,2607:fc20:ae81:ffff:ffff:ffff:ffff:ffff,2607:fc20:8000::,T-Mobile,US,310,260
197.133.255.0,197.133.255.255,197.133.0.0,Vodafone,EG,602,02
181.200.82.0,181.200.84.255,181.200.0.0,Movistar,CL,730,02
106.206.88.0,106.206.88.255,106.206.0.0,Airtel,IN,404,02
2001:16a2:caa6::,2001:16a2:caa6:ffff:ffff:ffff:ffff:ffff,2001:16a2:c000::,Al Jawal (STC),SA,420,01
2401:d800:7000::,2401:d800:7000:ffff:ffff:ffff:ffff:ffff,2401:d800:4000::,Viettel Mobile,VN,452,04
2401:4900:3341::,2401:4900:3349:ffff:ffff:ffff:ffff:ffff,2401:4900::,Airtel,IN,404,10
2a02:aa1:1646::,2a02:aa1:1646:ffff:ffff:ffff:ffff:ffff,2a02:aa1::,3,SE,240,02
2607:fb91:e91::,2607:fb91:e91:ffff:ffff:ffff:ffff:ffff,2607:fb91::,T-Mobile,US,310,260
153.213.24.0,153.213.25.255,153.213.0.0,NTT docomo,JP,440,10
2409:4050:2e9e::,2409:4050:2e9f:ffff:ffff:ffff:ffff:ffff,2409:4050::,Jio,IN,405,840
14.231.251.0,14.231.251.255,14.231.0.0,Vinaphone,VN,452,02
2607:fb90:9c21::,2607:fb90:9c21:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
2607:fb91:10a2::,2607:fb91:10a2:ffff:ffff:ffff:ffff:ffff,2607:fb91::,T-Mobile,US,310,260
206.170.138.0,206.170.138.255,206.170.0.0,AT&T,US,310,410
2409:4063:4202::,2409:4063:4202:ffff:ffff:ffff:ffff:ffff,2409:4063:4000::,Jio,IN,405,840
99.46.208.0,99.46.209.255,99.46.0.0,AT&T,US,310,410
2001:ee0:1a28::,2001:ee0:1a29:ffff:ffff:ffff:ffff:ffff,2001:ee0::,Vinaphone,VN,452,02
178.121.25.0,178.121.25.255,178.121.0.0,A1,BY,257,01
2a02:a58:8540::,2a02:a58:8540:ffff:ffff:ffff:ffff:ffff,2a02:a58:8000::,Orange,RO,226,10
186.169.232.0,186.169.239.255,186.169.0.0,Movistar,CO,732,123
2a00:f41:805a::,2a00:f41:805a:ffff:ffff:ffff:ffff:ffff,2a00:f41:8000::,Orange,PL,260,03
2607:fb90:3814::,2607:fb90:3814:ffff:ffff:ffff:ffff:ffff,2607:fb90::,T-Mobile,US,310,260
2402:8100:e73::,2402:8100:e73:ffff:ffff:ffff:ffff:ffff,2402:8100::,Vi India,IN,404,22
2409:4070:2399::,2409:4070:2399:ffff:ffff:ffff:ffff:ffff,2409:4070::,Jio,IN,405,840
2401:d800:76c6::,2401:d800:76c6:ffff:ffff:ffff:ffff:ffff,2401:d800:4000::,Viettel Mobile,VN,452,04
75.201.144.0,75.201.145.255,75.201.0.0,Verizon,US,310,012
2405:204:122d::,2405:204:122d:ffff:ffff:ffff:ffff:ffff,2405:204::,Jio,IN,405,840
92.189.10.0,92.189.10.255,92.189.0.0,Orange,ES,214,03
2607:fb90:bc4f::,2607:fb90:bc4f:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
122.21.29.0,122.21.29.255,122.21.0.0,NTT docomo,JP,440,10
105.151.208.0,105.151.215.255,105.151.0.0,IAM,MA,604,01
2600:1001:b0d0::,2600:1001:b0df:ffff:ffff:ffff:ffff:ffff,2600:1001:8000::,Verizon,US,310,012
102.5.133.0,102.5.133.255,102.5.0.0,Airtel,KE,639,03
2a00:1fa2:278::,2a00:1fa2:278:ffff:ffff:ffff:ffff:ffff,2a00:1fa2::,MTS,RU,250,01
81.154.158.0,81.154.158.255,81.154.0.0,BT,GB,234,00
107.255.254.244,107.255.255.50,107.255.0.0,AT&T,US,310,410
60.158.165.0,60.158.171.255,60.158.0.0,SoftBank,JP,440,20
86.157.84.0,86.157.84.255,86.157.0.0,BT,GB,234,00
75.211.129.0,75.211.130.255,75.211.0.0,Verizon,US,310,012
108.73.72.0,108.73.74.255,108.73.0.0,AT&T,US,310,410
2600:380:b062::,2600:380:b064:ffff:ffff:ffff:ffff:ffff,2600:380:8000::,AT&T,US,310,410
2001:1388:1c42::,2001:1388:1c43:ffff:ffff:ffff:ffff:ffff,2001:1388::,Movistar,PE,716,06
2800:370:12c::,2800:370:12f:ffff:ffff:ffff:ffff:ffff,2800:370::,CNT Mobile,EC,740,02
2409:4072:787::,2409:4072:787:ffff:ffff:ffff:ffff:ffff,2409:4072::,Jio,IN,405,840
133.218.149.0,133.218.152.255,133.218.0.0,NTT docomo,JP,440,10
176.254.85.0,176.254.85.255,176.254.0.0,O2 (UK),GB,234,10
106.194.226.0,106.194.226.255,106.194.0.0,Airtel,IN,404,02
2402:800:322a::,2402:800:322a:ffff:ffff:ffff:ffff:ffff,2402:800::,Viettel Mobile,VN,452,04
106.207.173.0,106.207.175.255,106.207.0.0,Airtel,IN,404,02
181.42.138.0,181.42.139.255,181.42.0.0,Entel,CL,730,01
180.56.75.0,180.56.78.255,180.56.0.0,NTT docomo,JP,440,10
75.232.100.0,75.232.100.255,75.232.0.0,Verizon,US,310,012
2804:214:8192::,2804:214:8193:ffff:ffff:ffff:ffff:ffff,2804:214:8000::,TIM,BR,724,02
2402:e000:65a::,2402:e000:65b:ffff:ffff:ffff:ffff:ffff,2402:e000::,Telenor,PK,410,06
191.110.104.0,191.110.104.255,191.110.0.0,Movistar,CO,732,123
2400:2200:494::,2400:2200:495:ffff:ffff:ffff:ffff:ffff,2400:2200::,SoftBank,JP,440,20
2a00:23ee:1678::,2a00:23ee:1678:ffff:ffff:ffff:ffff:ffff,2a00:23ee::,BT,GB,234,00
2402:800:3bc4::,2402:800:3bc4:ffff:ffff:ffff:ffff:ffff,2402:800::,Viettel Mobile,VN,452,04
104.9.187.0,104.9.187.255,104.9.0.0,AT&T,US,310,410
65.93.100.0,65.93.102.255,65.93.0.0,Bell Mobility,CA,302,610
2a01:cb1a:7d::,2a01:cb1a:7d:ffff:ffff:ffff:ffff:ffff,2a01:cb1a::,Orange,FR,208,01
86.141.111.0,86.141.111.255,86.141.0.0,BT,GB,234,00
153.207.223.0,153.207.226.255,153.207.0.0,NTT docomo,JP,440,10
196.233.156.0,196.233.186.255,196.233.0.0,Orange,TN,605,01
2401:d800:360::,2401:d800:361:ffff:ffff:ffff:ffff:ffff,2401:d800::,Viettel Mobile,VN,452,04
104.61.135.0,104.61.135.255,104.61.0.0,AT&T,US,310,410
220.220.25.0,220.220.26.255,220.220.0.0,NTT docomo,JP,440,10
102.60.179.0,102.60.181.255,102.60.0.0,Etisalat,EG,602,03
2409:4064:405::,2409:4064:405:ffff:ffff:ffff:ffff:ffff,2409:4064::,Jio,IN,405,840
82.128.200.0,82.128.201.255,82.128.0.0,DNA,FI,244,12
177.87.65.0,177.87.67.255,177.87.0.0,Claro,BR,724,05
223.188.59.0,223.188.62.255,223.188.0.0,Airtel,IN,404,02
2a02:2378:1099::,2a02:2378:1099:ffff:ffff:ffff:ffff:ffff,2a02:2378::,Kyivstar,UA,255,03
2600:1001:1119::,2600:1001:1119:ffff:ffff:ffff:ffff:ffff,2600:1001::,Verizon,US,310,012
75.193.121.0,75.193.121.255,75.193.0.0,Verizon,US,310,012
102.170.125.0,102.170.128.255,102.170.0.0,Ooredoo,TN,605,03
185.32.236.0,185.32.239.255,185.32.0.0,POST,LU,270,01
99.140.228.0,99.140.230.255,99.140.0.0,AT&T,US,310,410
153.174.177.0,153.174.177.255,153.174.0.0,NTT docomo,JP,440,10
154.159.6.0,154.159.6.255,154.159.0.0,Airtel,KE,639,03
2607:fb90:ba23::,2607:fb90:ba23:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
27.125.248.0,27.125.250.255,27.125.0.0,U Mobile,MY,502,18
37.43.29.0,37.43.30.255,37.43.0.0,Mobily,SA,420,03
58.94.133.0,58.94.133.255,58.94.0.0,NTT docomo,JP,440,10
2607:fb90:ba70::,2607:fb90:ba71:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
2401:d800:b260::,2401:d800:b260:ffff:ffff:ffff:ffff:ffff,2401:d800:8000::,Viettel Mobile,VN,452,04
142.126.0.0,142.126.0.255,142.126.0.0,Bell Mobility,CA,302,610
2a02:1388:2080::,2a02:1388:2096:ffff:ffff:ffff:ffff:ffff,2a02:1388::,Cosmote,GR,202,01
2a01:599:843::,2a01:599:843:ffff:ffff:ffff:ffff:ffff,2a01:599::,Telekom,DE,262,01
2603:3023:6cd::,2603:3023:6cd:ffff:ffff:ffff:ffff:ffff,2603:3023::,Verizon,US,310,012
37.33.172.0,37.33.174.255,37.33.0.0,DNA,FI,244,12
2401:d800:2d0::,2401:d800:2d1:ffff:ffff:ffff:ffff:ffff,2401:d800::,Viettel Mobile,VN,452,04
99.162.253.0,99.162.253.255,99.162.0.0,AT&T,US,310,410
177.160.113.0,177.160.127.255,177.160.0.0,Vivo,BR,724,11
86.141.32.0,86.141.32.255,86.141.0.0,BT,GB,234,00
2a00:23c7:fc20::,2a00:23c7:fc20:ffff:ffff:ffff:ffff:ffff,2a00:23c7:c000::,BT,GB,234,00
102.168.54.0,102.168.59.255,102.168.0.0,Ooredoo,TN,605,03
2a00:1fa3:666::,2a00:1fa3:66e:ffff:ffff:ffff:ffff:ffff,2a00:1fa3::,MTS,RU,250,01
5.0.251.0,5.0.252.255,5.0.0.0,Syriatel,SY,417,01
106.210.202.0,106.210.202.255,106.210.0.0,Airtel,IN,404,02
153.208.20.0,153.208.20.255,153.208.0.0,NTT docomo,JP,440,10
2001:b011:70a0::,2001:b011:70a0:ffff:ffff:ffff:ffff:ffff,2001:b011:4000::,Chunghwa,TW,466,92
196.99.112.0,196.99.138.255,196.99.0.0,Safaricom,KE,639,02
2409:4055:f::,2409:4055:10:ffff:ffff:ffff:ffff:ffff,2409:4055::,Jio,IN,405,840
83.110.58.0,83.110.58.255,83.110.0.0,Etisalat,AE,424,02
2607:fb90:7968::,2607:fb90:796b:ffff:ffff:ffff:ffff:ffff,2607:fb90:4000::,T-Mobile,US,310,260
75.34.157.0,75.34.157.255,75.34.0.0,AT&T,US,310,410
5.52.181.0,5.52.183.255,5.52.0.0,IR-TCI (Hamrah-e-Avval),IR,432,11
69.121.16.0,69.121.16.255,69.121.0.0,T-Mobile,US,310,260
2401:4900:3178::,2401:4900:317b:ffff:ffff:ffff:ffff:ffff,2401:4900::,Airtel,IN,404,10
2409:4072:39f::,2409:4072:39f:ffff:ffff:ffff:ffff:ffff,2409:4072::,Jio,IN,405,840
190.225.195.0,190.225.195.255,190.225.0.0,Personal,AR,722,341
2600:380:c4ba::,2600:380:c4bb:ffff:ffff:ffff:ffff:ffff,2600:380:c000::,AT&T,US,310,410
37.136.217.0,37.136.217.255,37.136.0.0,DNA,FI,244,12
121.82.33.0,121.82.34.255,121.82.0.0,NTT docomo,JP,440,10
154.134.255.0,154.134.255.255,154.134.0.0,Orange,EG,602,01
66.10.98.0,66.10.98.255,66.10.0.0,AT&T,US,310,410
171.51.196.0,171.51.200.255,171.51.0.0,Airtel,IN,404,02
166.137.101.142,166.137.101.142,166.137.0.0,AT&T,US,310,410
191.104.0.0,191.104.127.255,191.104.0.0,Movistar,CO,732,123
102.168.251.0,102.168.253.255,102.168.0.0,Ooredoo,TN,605,03
176.133.244.0,176.133.244.255,176.133.0.0,Bouygues,FR,208,20
196.81.74.0,196.81.100.255,196.81.0.0,IAM,MA,604,01
102.149.128.0,102.149.128.255,102.149.0.0,Airtel,ZM,645,01
219.167.20.0,219.167.20.255,219.167.0.0,NTT docomo,JP,440,10
108.234.1.0,108.234.7.255,108.234.0.0,AT&T,US,310,410
2402:800:3a8c::,2402:800:3a8c:ffff:ffff:ffff:ffff:ffff,2402:800::,Viettel Mobile,VN,452,04
151.46.0.0,151.46.20.255,151.46.0.0,WINDTRE,IT,222,88
108.247.245.0,108.247.245.255,108.247.0.0,AT&T,US,310,410
114.149.76.0,114.149.80.255,114.149.0.0,NTT docomo,JP,440,10
2409:4066:9::,2409:4066:9:ffff:ffff:ffff:ffff:ffff,2409:4066::,Jio,IN,405,840
2600:380:9ff2::,2600:380:9ff2:ffff:ffff:ffff:ffff:ffff,2600:380:8000::,AT&T,US,310,410
180.57.239.0,180.57.239.255,180.57.0.0,NTT docomo,JP,440,10
178.110.18.0,178.110.18.255,178.110.0.0,T-Mobile,US,310,260
2804:275c:8803::,2804:275c:8803:ffff:ffff:ffff:ffff:ffff,2804:275c:8000::,Vivo,BR,724,06
2401:4900:3053::,2401:4900:3053:ffff:ffff:ffff:ffff:ffff,2401:4900::,Airtel,IN,404,02
97.145.43.0,97.145.43.255,97.145.0.0,Verizon,US,310,012
2403:6200:8967::,2403:6200:8967:ffff:ffff:ffff:ffff:ffff,2403:6200:8000::,AIS,TH,520,03
196.229.194.0,196.229.196.255,196.229.0.0,Orange,TN,605,01
197.149.139.0,197.149.139.255,197.149.0.0,Libertis Telecom,CG,629,10
101.128.230.0,101.128.230.255,101.128.0.0,NTT docomo,JP,440,10
180.35.133.0,180.35.133.255,180.35.0.0,NTT docomo,JP,440,10
2600:380:a2d6::,2600:380:a2d6:ffff:ffff:ffff:ffff:ffff,2600:380:8000::,AT&T,US,310,410
45.214.164.0,45.214.164.255,45.214.0.0,Airtel,ZM,645,01
2607:fb90:d2b0::,2607:fb90:d2b1:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,260
2600:380:a0a3::,2600:380:a0a4:ffff:ffff:ffff:ffff:ffff,2600:380:8000::,AT&T,US,310,410
2001:ee0:4388::,2001:ee0:4389:ffff:ffff:ffff:ffff:ffff,2001:ee0:4000::,Vinaphone,VN,452,02
2607:fb90:f544::,2607:fb90:f545:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,260
108.76.114.0,108.76.114.255,108.76.0.0,AT&T,US,310,410
240a:10:4920::,240a:10:4929:ffff:ffff:ffff:ffff:ffff,240a:10:4000::,NTT docomo,JP,440,10
47.72.89.0,47.72.96.255,47.72.0.0,Vodafone,NZ,530,01
104.62.168.0,104.62.168.255,104.62.0.0,AT&T,US,310,410
2607:fb90:8394::,2607:fb90:8394:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
2401:d800:5562::,2401:d800:5562:ffff:ffff:ffff:ffff:ffff,2401:d800:4000::,Viettel Mobile,VN,452,04
